,Constraint Name,Constraint equation,Sense,RHS
0,"latency_function_('A.GET./read#0#start', 'A.GET./read#0#end')","compute_latency[('A.GET./read#0#start',_'A.GET./read#0#end')] + -1.0 load_for_compute_edge[('A.GET./read#0#start',_'A.GET./read#0#end')] + -1.0 load_for_compute_edge[('A.POST./write#0#start',_'A.POST./write#0#end')]",=,0.0
1,"latency_function_('A.POST./write#0#start', 'A.POST./write#0#end')","compute_latency[('A.POST./write#0#start',_'A.POST./write#0#end')] + -1.0 load_for_compute_edge[('A.GET./read#0#start',_'A.GET./read#0#end')] + -1.0 load_for_compute_edge[('A.POST./write#0#start',_'A.POST./write#0#end')]",=,0.0
2,"latency_function_('B.GET./read#0#start', 'B.GET./read#0#end')","compute_latency[('B.GET./read#0#start',_'B.GET./read#0#end')] + -1.0 load_for_compute_edge[('B.GET./read#0#start',_'B.GET./read#0#end')]",=,0.0
3,"latency_function_('C.POST./write#0#start', 'C.POST./write#0#end')","compute_latency[('C.POST./write#0#start',_'C.POST./write#0#end')] + -1.0 load_for_compute_edge[('C.POST./write#0#start',_'C.POST./write#0#end')]",=,0.0
4,"latency_function_('A.GET./read#1#start', 'A.GET./read#1#end')","compute_latency[('A.GET./read#1#start',_'A.GET./read#1#end')] + -1.0 load_for_compute_edge[('A.GET./read#1#start',_'A.GET./read#1#end')] + -1.0 load_for_compute_edge[('A.POST./write#1#start',_'A.POST./write#1#end')]",=,0.0
5,"latency_function_('A.POST./write#1#start', 'A.POST./write#1#end')","compute_latency[('A.POST./write#1#start',_'A.POST./write#1#end')] + -1.0 load_for_compute_edge[('A.GET./read#1#start',_'A.GET./read#1#end')] + -1.0 load_for_compute_edge[('A.POST./write#1#start',_'A.POST./write#1#end')]",=,0.0
6,"latency_function_('B.GET./read#1#start', 'B.GET./read#1#end')","compute_latency[('B.GET./read#1#start',_'B.GET./read#1#end')] + -1.0 load_for_compute_edge[('B.GET./read#1#start',_'B.GET./read#1#end')]",=,0.0
7,"latency_function_('C.POST./write#1#start', 'C.POST./write#1#end')","compute_latency[('C.POST./write#1#start',_'C.POST./write#1#end')] + -1.0 load_for_compute_edge[('C.POST./write#1#start',_'C.POST./write#1#end')]",=,0.0
8,cluster_0_load_in_A.GET./read,"load_for_network_edge[('SOURCE#_1#end',_'A.GET./read#0#start')]",=,10.0
9,cluster_1_load_in_A.GET./read,"load_for_network_edge[('SOURCE#_1#end',_'A.GET./read#1#start')]",=,100.0
10,cluster_0_load_in_A.POST./write,"load_for_network_edge[('SOURCE#_1#end',_'A.POST./write#0#start')]",=,10.0
11,cluster_1_load_in_A.POST./write,"load_for_network_edge[('SOURCE#_1#end',_'A.POST./write#1#start')]",=,100.0
12,source,"load_for_network_edge[('SOURCE#_1#end',_'A.GET./read#0#start')] + load_for_network_edge[('SOURCE#_1#end',_'A.GET./read#1#start')] + load_for_network_edge[('SOURCE#_1#end',_'A.POST./write#0#start')] + load_for_network_edge[('SOURCE#_1#end',_'A.POST./write#1#start')]",=,220.0
13,flow_conservation-start_node-A.GET./read,"-1.0 load_for_compute_edge[('A.GET./read#0#start',_'A.GET./read#0#end')] + load_for_network_edge[('SOURCE#_1#end',_'A.GET./read#0#start')]",=,0.0
14,flow_conservation-start_node-A.POST./write,"-1.0 load_for_compute_edge[('A.POST./write#0#start',_'A.POST./write#0#end')] + load_for_network_edge[('SOURCE#_1#end',_'A.POST./write#0#start')]",=,0.0
15,flow_conservation-start_node-B.GET./read,"-1.0 load_for_compute_edge[('B.GET./read#0#start',_'B.GET./read#0#end')] + load_for_network_edge[('A.GET./read#0#end',_'B.GET./read#0#start')] + load_for_network_edge[('A.GET./read#1#end',_'B.GET./read#0#start')]",=,0.0
16,flow_conservation-start_node-C.POST./write,"-1.0 load_for_compute_edge[('C.POST./write#0#start',_'C.POST./write#0#end')] + load_for_network_edge[('A.POST./write#0#end',_'C.POST./write#0#start')] + load_for_network_edge[('A.POST./write#1#end',_'C.POST./write#0#start')]",=,0.0
